Internal EAN/GTIN,External EAN/GTIN,Internal Product Name,Internal Brand,Internal Category,External Product Name,External Brand,External Category,Internal Price,External Price,Scenario Match (EAN or fallback),Score,Confidence,Tier,Match Reasons,Name Score,Brand Score,Category Score,Price Score,Price Difference %
8717447071174,1387174470711,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Manta de Algodón de Bugaboo,Bugaboo,Dormir,59.46,69.95,FALLBACK_ALGORITHM,0.55,55,low,✓ Ready for sequential cascade matching; name_sem:1.00; brand:exact; category:cross-dept; sale_relax; price:within-16%; cross_dept; cross_dept_cap_55,100,100,0,95,16.2
8717447071174,8717447071150,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Manta Bugaboo de Algodón rosa pastel,Bugaboo,Dormir,59.46,170,FALLBACK_ALGORITHM,0.53,53.3,low,✓ Ready for sequential cascade matching; name_sem:0.61; brand:exact; category:cross-dept; sale_relax; price:diff-96%; cross_dept,60.6,100,0,20,96.3
8717447071174,EAN-NO-DISPONIBLE,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Colchoneta Integral de Lana Bugaboo,Bugaboo,Dormir,59.46,54.95,FALLBACK_ALGORITHM,0.49,49.1,low,✓ Ready for sequential cascade matching; name_sem:0.28; brand:exact; category:cross-dept; sale_relax; price:within-8%; cross_dept,28.1,100,0,100,7.9
8717447071174,EAN-NO-DISPONIBLE,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Adaptador maxicosi para Camaleon de Bugaboo,Bugaboo,Comer,59.46,54.95,FALLBACK_ALGORITHM,0.48,48.2,low,✓ Ready for sequential cascade matching; name_sem:0.26; brand:exact; category:cross-dept; sale_relax; price:within-8%; cross_dept,26.5,100,0,100,7.9
8717447071174,1387174470120,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Funda de capazo del bugaboo cameleon,Bugaboo,Dormir,59.46,68,FALLBACK_ALGORITHM,0.48,48.2,low,✓ Ready for sequential cascade matching; name_sem:0.26; brand:exact; category:cross-dept; sale_relax; price:within-13%; cross_dept,26.3,100,0,100,13.4
8717447071174,EAN-NO-DISPONIBLE,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Bugaboo Fox Recambio de Clips de Manillar,Bugaboo,Pasear,59.46,54.95,FALLBACK_ALGORITHM,0.48,48,low,✓ Ready for sequential cascade matching; name_sem:0.26; brand:exact; category:cross-dept; sale_relax; price:within-8%; cross_dept,26,100,0,100,7.9
8717447071174,EAN-NO-DISPONIBLE,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Cestilla de Compras Bugaboo Buffalo,Bugaboo,Pasear,59.46,68.95,FALLBACK_ALGORITHM,0.48,47.8,low,✓ Ready for sequential cascade matching; name_sem:0.26; brand:exact; category:cross-dept; sale_relax; price:within-15%; cross_dept,25.5,100,0,100,14.8
8717447071174,1387174472179,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Bugaboo Dragonfly Funda de Silla,Bugaboo,Pasear,59.46,69.95,FALLBACK_ALGORITHM,0.47,46.9,low,✓ Ready for sequential cascade matching; name_sem:0.25; brand:exact; category:cross-dept; sale_relax; price:within-16%; cross_dept,25.3,100,0,95,16.2
8717447071174,EAN-NO-DISPONIBLE,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Pack de Fundas de Capazo Bugaboo Fox 3,Bugaboo,Dormir,59.46,49.95,FALLBACK_ALGORITHM,0.47,46.6,low,✓ Ready for sequential cascade matching; name_sem:0.26; brand:exact; category:cross-dept; sale_relax; price:within-17%; cross_dept,26.1,100,0,90,17.4
8717447071174,EAN-NO-DISPONIBLE,Manta de Algodón de Bugaboo,BUGABOO,Moombs,Adaptadores para Silla de Coche Bugaboo Dragonfly,BUGABOO,Pasear,59.46,54.5,FALLBACK_ALGORITHM,0.47,46.5,low,✓ Ready for sequential cascade matching; name_sem:0.23; brand:exact; category:cross-dept; sale_relax; price:within-9%; cross_dept,23.1,100,0,100,8.7
8420421082478,EAN-NO-DISPONIBLE,JN WINDOW SOCK (XL),JANE,All,Adaptador WC Jane Soft Toilet,Jane,Comer,13.18,14.9,FALLBACK_ALGORITHM,0.35,35,low,✓ Ready for sequential cascade matching; name_sem:0.00; brand:exact; category:cross-dept; sale_relax; price:within-12%; cross_dept,0,100,0,100,12.3
8420421082478,8421078556,JN WINDOW SOCK (XL),JANE,All,Bolso Trona Avant de JANE,JANE,Comer,13.18,14.93,FALLBACK_ALGORITHM,0.35,35,low,✓ Ready for sequential cascade matching; name_sem:0.00; brand:exact; category:cross-dept; sale_relax; price:within-12%; cross_dept,0,100,0,100,12.5
8420421082478,,JN WINDOW SOCK (XL),JANE,All,Colchoneta Universal Reversible R39 Heroes de JANE,JANE,Pasear,13.18,15.48,FALLBACK_ALGORITHM,0.34,34.4,low,✓ Ready for sequential cascade matching; name_sem:0.00; brand:exact; category:cross-dept; sale_relax; price:within-16%; cross_dept,0,100,0,96,16.1
8420421082478,EAN-NO-DISPONIBLE,JN WINDOW SOCK (XL),JANE,All,Jane Espejo para Silla de Coche con Funda para Ipad,Jane,Accesorios coche,13.18,0,FALLBACK_ALGORITHM,0.31,30.5,low,✓ Ready for sequential cascade matching; name_sem:0.00; brand:exact; category:cross-dept; price_missing->neutral70; cross_dept,0,100,0,70,0
8420421082478,8421082478,Parasol de Coche Jané Sock,JANE,Moombs,Parasol de Coche Jané Sock,Jané,Accesorios Coche,15.95,259,FALLBACK_ALGORITHM,0.53,53,low,✓ Ready for sequential cascade matching; name_sem:1.00; brand:conflict; category:cross-dept; sale_relax; price:diff-177%; brand_conflict; cross_dept,100,0,0,20,176.8
8420421082478,EAN-NO-DISPONIBLE,Parasol de Coche Jané Sock,JANE,Moombs,Espejo de Coche Jane Led Mirror,Jane,Accesorios Coche,15.95,19,FALLBACK_ALGORITHM,0.46,45.7,low,✓ Ready for sequential cascade matching; name_sem:0.24; brand:exact; category:cross-dept; sale_relax; price:within-17%; cross_dept,24.4,100,0,90,17.5
